title,description,sale_price,market_price,category,matched,year,brand,set,subset,player,card_number,attributes,team,variation,condition,graded,grader,certification_number,grade_name,grade_number,purchase_date,purchase_price,note,cabinet,shelf,box,row,section,sku,front_image,back_image
2019 Panini Stars & Stripes USA Baseball Base Longevity Team Logo Gold #94,<p>This is a nice example of a 2019 Panini Stars & Stripes USA Baseball #94 Josh Jung Base Longevity Team Logo Gold <br><br><br>Other important information about this card:<br><br>SN<br><br><br>In 2019 Josh Jung played for the .<br><br><br>Please check out our other listings for more great cards.</p>,0.00,59.64,BASEBALL,Yes,2019,Panini,2019 Panini Stars & Stripes USA Baseball,Base Longevity Team Logo Gold,Josh Jung,94,SN,,,Near Mint or Better,No,,,,,,0,,,,,,,7722,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591092-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591092-back.jpg
2023 Topps Japan Edition Cherry Blossoms #40,<p>This is a nice example of a 2023 Topps Japan Edition #40 Albert Pujols Cherry Blossoms <br><br><br>Other important information about this card:<br><br>SN<br><br><br>In 2023 Albert Pujols played for the St. Louis Cardinals.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,45.00,BASEBALL,Yes,2023,Topps,2023 Topps Japan Edition,Cherry Blossoms,Albert Pujols,40,SN,St. Louis Cardinals,,Near Mint or Better,No,,,,,,0,,,,,,,7723,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591094-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591094-back.jpg
1989 SCD Baseball Card Price Guide Monthly #3,<p>This is a nice example of a 1989 SCD Baseball Card Price Guide Monthly #3 Ken Griffey <br><br><br>Other important information about this card:<br><br><br>In 1989 Ken Griffey played for the Seattle Mariners.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,12.00,BASEBALL,Yes,1989,,1989 SCD Baseball Card Price Guide Monthly,,Ken Griffey,3,,Seattle Mariners,,Near Mint or Better,No,,,,,,0,,,,,,,7724,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591095-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591095-back.jpg
2025 Topps Chrome Update Chrome Update Autographs Blue RayWave Refractors #AC-LE,"<p>This is a nice example of a 2025 Topps Chrome Update #AC-LE Logan Evans Chrome Update Autographs Blue RayWave Refractors <br><br><br>Other important information about this card:<br><br>SN,AU<br><br><br>In 2025 Logan Evans played for the Seattle Mariners.<br><br><br>Please check out our other listings for more great cards.</p>",0.00,,BASEBALL,Yes,2025,Topps,2025 Topps Chrome Update,Chrome Update Autographs Blue RayWave Refractors,Logan Evans,AC-LE,"SN,AU",Seattle Mariners,,Near Mint or Better,No,,,,,,0,,,,,,,7725,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591096-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591096-back.jpg
2022 Topps Gypsy Queen Burnt Umber #275,<p>This is a nice example of a 2022 Topps Gypsy Queen #275 Albert Pujols Burnt Umber <br><br><br>Other important information about this card:<br><br>SN<br><br><br>In 2022 Albert Pujols played for the Los Angeles Dodgers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,3.00,BASEBALL,Yes,2022,Topps,2022 Topps Gypsy Queen,Burnt Umber,Albert Pujols,275,SN,Los Angeles Dodgers,,Near Mint or Better,No,,,,,,0,,,,,,,7726,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591098-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591098-back.jpg
2024 Topps Heritage Dark Blue Border #548,<p>This is a nice example of a 2024 Topps Heritage #548 Randy Arozarena Dark Blue Border <br><br><br>Other important information about this card:<br><br><br>In 2024 Randy Arozarena played for the Seattle Mariners.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.89,BASEBALL,Yes,2024,Topps,2024 Topps Heritage,Dark Blue Border,Randy Arozarena,548,,Seattle Mariners,,Near Mint or Better,No,,,,,,0,,,,,,,7727,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591099-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591099-back.jpg
2025 Topps Pristine Pristine Aqua Refractors #234,<p>This is a nice example of a 2025 Topps Pristine #234 Cal Raleigh Pristine Aqua Refractors <br><br><br>Other important information about this card:<br><br>SN<br><br><br>In 2025 Cal Raleigh played for the Seattle Mariners.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,BASEBALL,Yes,2025,Topps,2025 Topps Pristine,Pristine Aqua Refractors,Cal Raleigh,234,SN,Seattle Mariners,,Near Mint or Better,No,,,,,,0,,,,,,,7728,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591100-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591100-back.jpg
2004 Bowman Chrome #106,<p>This is a nice example of a 2004 Bowman Chrome #106 Tom Brady <br><br><br>Other important information about this card:<br><br><br>In 2004 Tom Brady played for the New England Patriots.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,12.99,FOOTBALL,Yes,2004,Bowman,2004 Bowman Chrome,,Tom Brady,106,,New England Patriots,,Near Mint or Better,No,,,,,,0,,,,,,,7729,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591103-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591103-back.jpg
2002 Topps #248,<p>This is a nice example of a 2002 Topps #248 Tom Brady <br><br><br>Other important information about this card:<br><br><br>In 2002 Tom Brady played for the New England Patriots.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,10.00,FOOTBALL,Yes,2002,Topps,2002 Topps,,Tom Brady,248,,New England Patriots,,Near Mint or Better,No,,,,,,0,,,,,,,7730,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591104-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591104-back.jpg
#,<p>This is a nice example of a # <br><br><br>Other important information about this card:<br><br><br>In played for the .<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,,No,,,,,,,,,,Near Mint or Better,No,,,,,,0,,,,,,,7731,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591105-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591105-back.jpg
