set,player,subset,card number,parallel
2019 Panini Stars & Stripes USA Baseball,Josh Jung,Base Longevity Team Logo Insert,#94,Gold
2023 Topps Japan Edition,Albert Pujols,Base,#40,Cherry Blossoms
1989 SCD Baseball Card Price Guide Monthly,Ken Griffey,Base,#3,
2025 Topps Chrome Update,Logan Evans,Chrome Update Autographs Insert,#AC-LE,Blue RayWave Refractors
2022 Topps Gypsy Queen,Albert Pujols,Base,#275,Burnt Umber
2024 Topps Heritage,Randy Arozarena,Base,#548,Dark Blue Border
2025 Topps Pristine,Cal Raleigh,Pristine Insert,#234,Aqua Refractors
2004 Bowman Chrome,Tom Brady,Base,#106,
2002 Topps,Tom Brady,Base,#248,
,,,,
2016 Panini Donruss,Pat McAfee,Press Proofs Insert,#131,Blue
2023 Panini Select,De'Von Achane,Base,#274,Silver Prizms
2025 Panini Donruss Optic,Travis Hunter,Rookie,#201,Holo
2025 Panini Donruss Optic,Tyler Shough,Rookie,#223,Pink
2024 Panini Donruss Optic,Jameson Williams,Base,#67,
2022 Panini Prizm,Deshaun Watson,Base,#66,Green
2025 Panini Donruss Optic,Tyler Warren,Rookie,#234,Blue Hyper
2023 Topps Bowman U Chrome,Caleb Downs,Base,#49,Green Lava Refractor
2024 Panini Clearly Donruss,Will Shipley,Clearly Rated Rookie Autographs Rookie Insert,#87,Purple
,,,,
2025 Panini Score,Jaxson Dart,Anniversary Rookies Insert,#9,
2025 Panini Score,Travis Hunter,Rookie,#20,
2025 Panini Score,Tetairoa McMillan,Emerged Insert,#8,
2020 Panini Donruss Elite,Joe Burrow,Rookie,#102,
2025 Panini Absolute,Jaxson Dart,Hog Heaven Insert,#HH-JDT,
2020 Panini Select,Jonathan Taylor,Rookie,#53,Light Blue Prizm Die Cut
2025 Panini Mosaic,Drake Maye,Montage Insert,#1,
1990-91 SkyBox,Charles Barkley,Base,#211,
2025-26 Topps Holiday,LeBron James,Hidden Elf Insert,#HE-LBJ,
1981-82 Topps,Julius Erving,Base,#30,
2025-26 Topps,Cooper Flagg,Companion Cards SPs Insert,#CCV-5,
2022-23 Panini Prizm Monopoly,Cade Cunningham,Base,#25,Silver
2025 Topps x Bob Ross: The Joy of Baseball,Don Mattingly,Base,#64,
2025 Topps x Bob Ross: The Joy of Baseball,Derek Jeter,Base,#70,
1990 Topps,"Ken Griffey, Jr.",Base,#336,
2022 Panini Donruss Optic UFC,Dominick Cruz,Opti-Graphs Insert,#OG-DCZ,Red
2022 Panini Donruss Optic UFC,Dominick Cruz,Base,#95,Black Velocity
2024 Topps Bowman U Chrome,Jeremiyah Love,Base,#100,Teal Lava Refractor
2024 Topps Bowman U Chrome,Nick Singleton,Prospect Autographs Insert,#PA-NSI,Red Refractor
,,,,
2024 Panini Prizm Monopoly WNBA,Sheryl Swoopes,All-Star Insert,#WNBA21,
2024-25 Panini Mosaic,Luka Doncic,Stare Masters Insert,#7,Purple Mosaic
2021 Panini Mosaic,Rob Gronkowski,Got Game? Insert,#GG-1,Mosaic
2024 Panini Contenders,Justin Herbert,Winning Ticket Insert,#9,
,,,,
,,,,
2018-19 Panini Court Kings,Anfernee Simons,Rookie,#152,
2019 Panini Prestige,Gus Edwards,Xtra Points Insert,#170,Green
2024 Topps Bowman U Best,Omarion Hampton,Base,#42,
2024 Panini Contenders,Malik Nabers,Draft Class Contenders Insert,#5,Bronze
2021-22 Panini NBA Hoops,Jayson Tatum,Slam Insert,#SLAM 218,Green Ice
,,,,
2024 Topps Bowman U Chrome,Luther Burden III,Campus Icons Insert,#CI-16,Fuchsia Refractor
2024 Topps Bowman U Chrome,Jeremiyah Love,Base,#100,Pink Lava Refractor
2022-23 Topps Bowman's Best U,JJ McCarthy,Base,#48,
2024-25 Panini Mosaic,Kawhi Leonard,Base,#7,Mosaic
2022-23 Topps Match Attax 101 Road to UEFA Nations League Finals,Josko Gvardiol,Young Player to Watch Insert,#YP9,Purple Foil
2022 Panini Score,Thurman Thomas,Red Zone Insert,#270,
2020-21 Panini NBA Hoops,Carmelo Anthony,Slam Insert,#3,
2022-23 Panini NBA Hoops,Nikola Jokic,Base,#287,Blue
2022-23 Panini Chronicles,Stephen Curry,Base,#618,Red
2024 Panini Select,Tremaine Edmunds,Base,#297,Green & Yellow Prizm Shock
2024 Panini Select,Boomer Esiason,Base,#209,Black & Orange Prizm Shock
2024 Panini Select,Emmitt Smith,Base,#155,Red & Blue Prizm Shock
2024 Panini Select,Bo Nix,Select Numbers Insert,#6,Prizm
2024 Panini Select,Matthew Stafford,Base,#182,Red & Blue Prizm Shock
2024 Panini Donruss Optic,Adonai Mitchell,Rookie,#203,
2023 Panini Absolute,Brock Purdy,Draft Diamonds Insert,#DD-2,
2023 Panini Select,Bryce Young,Future Insert,#FUT-BYO,
2024 Panini Totally Certified,Kurt Warner,Base,#181,Mirror Gold
2023 Panini Rookies & Stars,Tyreek Hill,Crusade Insert,#CR-16,Pandora
2024 Panini Phoenix,Patrick Mahomes II,Contours Insert,#CON-PMS,
2024 Panini Phoenix,Lamar Jackson,Contours Insert,#CON-LJN,
2024 Panini Phoenix,C.J. Stroud,Contours Insert,#CON-CST,
2024 Panini Select,Jayden Daniels,Rookie,#112,Black & Red Prizm Shock
2024 Panini Select,Michael Penix Jr.,Rookie,#80,Black & Green Prizm Shock
2024 Panini Select,Jayden Daniels,Turbocharged Insert,#12,Prizm
2024 Panini Select,Lamar Jackson,Turbocharged Insert,#3,
2006 Topps Total,Jamal Lewis,Base,#191,
2021-22 Panini Illusions,Stephen Curry,King of Cards Insert,#2,Emerald
